word,pitches,label
There,"[328608.71875, 409615.21875, 414472.03125, 0, 0]",0
are,"[369931.71875, 0, 0, 0, 0]",0
additionally,"[369931.71875, 424370.5625, 0, 0, 0]",0
several,"[462393.84375, 408957.53125, 386058.46875, 0, 0]",1
parks,"[386058.46875, 415134.71875, 0, 0, 0]",1
nearby,"[415134.71875, 0, 0, 0, 0]",1
towns,"[407581.03125, 416626.96875, 0, 0, 0]",1
in,"[416626.96875, 366825.21875, 0, 0, 0]",1
the,"[400857.21875, 0, 0, 0, 0]",0
metropolitan,"[400857.21875, 344771.1875, 0, 0, 0]",1
area.,"[344771.1875, 344423.65625, 388846.4375, 0, 0]",1
He,"[448959.34375, 0, 0, 0, 0]",0
pointed,"[448959.34375, 0, 0, 0, 0]",1
out,"[401654.28125, 0, 0, 0, 0]",1
the,"[408208.46875, 404730.28125, 0, 0, 0]",0
floor,"[404730.28125, 377095.5625, 0, 0, 0]",1
in,"[377095.5625, 0, 0, 0, 0]",1
his,"[451636.875, 0, 0, 0, 0]",0
brother's,"[393308.09375, 396197.53125, 0, 0, 0]",1
argument.,"[396197.53125, 355282.15625, 0, 0, 0]",1
There,"[494639.09375, 0, 0, 0, 0]",0
is,"[494639.09375, 0, 0, 0, 0]",0
some,"[457259.3125, 0, 0, 0, 0]",0
ambiguity,"[457259.3125, 431725.84375, 0, 0, 0]",1
pertaining,"[392249.5, 397292.0625, 389175.03125, 391853.78125, 0]",1
to,"[391853.78125, 0, 0, 0, 0]",1
the,"[343197.53125, 0, 0, 0, 0]",0
language,"[343197.53125, 0, 0, 0, 0]",1
used,"[375240.65625, 0, 0, 0, 0]",0
in,"[430657.84375, 0, 0, 0, 0]",0
Beth,"[430657.84375, 0, 0, 0, 0]",1
Kitei.,"[374051.1875, 436080.59375, 0, 0, 0]",1
Admissions,"[379951.375, 371089.46875, 0, 0, 0]",1
letters,"[371089.46875, 0, 0, 0, 0]",1
for,"[397190.46875, 349523.40625, 0, 0, 0]",1
the,"[349523.40625, 0, 0, 0, 0]",0
regular,"[393712.65625, 0, 0, 0, 0]",1
admissions,"[393712.65625, 0, 0, 0, 0]",1
process,"[391554.90625, 381396.15625, 0, 0, 0]",1
are,"[391760.78125, 359288.5625, 0, 0, 0]",0
generally,"[359288.5625, 360044.75, 0, 0, 0]",1
mailed,"[360044.75, 348567.53125, 0, 0, 0]",1
in,"[405884.03125, 363572.28125, 0, 0, 0]",0
March.,"[386910.8125, 344317.53125, 0, 0, 0]",1
It,"[381986.78125, 0, 0, 0, 0]",0
has,"[381986.78125, 0, 0, 0, 0]",0
two,"[403717.65625, 0, 0, 0, 0]",1
serving,"[370848.03125, 396620.34375, 0, 0, 0]",1
positions,"[396620.34375, 413464.15625, 0, 0, 0]",1
and,"[413464.15625, 365561.46875, 398380.46875, 0, 0]",0
uses,"[401116.78125, 344228.9375, 0, 0, 0]",1
the,"[354374.59375, 0, 0, 0, 0]",0
tribute,"[354374.59375, 0, 0, 0, 0]",1
ticket,"[354916.46875, 410792.28125, 0, 0, 0]",1
issuing,"[410792.28125, 361733.75, 0, 0, 0]",1
system.,"[361733.75, 395657.96875, 0, 0, 0]",1
One,"[377308.09375, 0, 0, 0, 0]",1
family,"[377308.09375, 381446.84375, 0, 0, 0]",1
supplied,"[381446.84375, 394554.0625, 0, 0, 0]",1
many,"[372424.78125, 0, 0, 0, 0]",0
of,"[372424.78125, 0, 0, 0, 0]",0
Hatfield's,"[359403.4375, 415885.28125, 0, 0, 0]",1
physicians,"[415885.28125, 0, 0, 0, 0]",1
for,"[378711.75, 0, 0, 0, 0]",0
